"","Sphaerophoria.spec","Bombus.pascuorum","Bombus.terrestris.agg","Lasioglossum.pauxillum","Bombus.lapidarius","Halictus.tumulorum","Andrena.minutuloides","Eristalis.tenax","Syritta.pipiens","Eristalis.pertinax","Syrphus.vitripennis","Halictus.rubicundus","Lasioglossum.fulvicorne","Nomada.flavoguttata","Sphecodes.ferruginatus","Sphecodes.niger","Episyrphus.balteatus","Eupeodes.corollae","Helophilus.trivittatus","Pipiza.noctiluca.bimaculata","Andrena.bicolor","Andrena.labialis","Andrena.minutula","Bombus.pratorum","Ceratina.cyanea","Heriades.truncorum","Lasioglossum.calceatum","Lasioglossum.leucopus","Lasioglossum.morio","Lasioglossum.pygmaeum","Lasioglossum.villosulum","Melitta.haemorrhoidalis","Sphecodes.crassus","Cheilosia.fraterna","Cheilosia.soror","Chrysotoxum.bicinctum","Eristalis.arbustorum","Eristalis.interrupta","Eristalis.lineata","Helophilus.hybridus","Helophilus.pendulus","Heringia.spec","Myathropa.florea","Syrphus.ribesii"
"Pimpinella.saxifraga",1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1
"Knautia.arvensis",1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
"Thymus.pulegioides",1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Achillea.millefolium",1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"Daucus.carota",1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Campanula.rotundifolia",1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Cirsium.acaule",1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hippocrepis.comosa",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prunella.grandiflora",1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Senecio.jacobaea",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hieracium.pilosella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lotus.corniculatus",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Plantago.media",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
