"","Sphaerophoria.spec","Bombus.lapidarius","Lasioglossum.pauxillum","Episyrphus.balteatus","Eristalis.interrupta","Bombus.pascuorum","Bombus.terrestris.agg","Eristalis.tenax","Eristalis.pertinax","Myathropa.florea","Scaeva.pyrastri","Syrphus.ribesii","Syrphus.vitripennis","Andrena.minutuloides","Andrena.wilkella","Anthidium.manicatum","Chelostoma.rapunculi","Lasioglossum.calceatum","Lasioglossum.villosulum","Osmia.aurulenta","Osmia.bicolor","Psithyrus.rupestris","Sphecodes.monilicornis","Cheilosia.soror","Eupeodes.lapponicus","Ferdinandea.cuprea","Helophilus.pendulus","Melanostoma.spec"
"Knautia.arvensis",0,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
"Pimpinella.saxifraga",1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Centaurea.jacea",1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Daucus.carota",1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Hippocrepis.comosa",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
"Leontodon.hispidus",1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Ononis.spinosa",1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Cichorium.intybus",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Cirsium.acaule",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Campanula.rotundifolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"Lotus.corniculatus",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Medicago.falcata",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trifolium.pratense",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
