"","Episyrphus.balteatus","Bombus.lapidarius","Bombus.terrestris.agg","Sphaerophoria.spec","Syrphus.vitripennis","Bombus.pascuorum","Syrphus.torvus","Eristalis.interrupta","Eristalis.tenax","Syrphus.ribesii","Andrena.subopaca","Hylaeus.brevicornis","Lasioglossum.calceatum","Lasioglossum.morio","Nomada.flavoguttata","Psithyrus.bohemicus","Cheilosia.soror","Didea.fasciata","Eumerus.ornatus","Heringia.spec"
"Knautia.arvensis",1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0
"Helianthemum.nummularium",0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"Agrimonia.eupatoria",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Clinopodium.vulgare",1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Pimpinella.saxifraga",1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Galium.mollugo",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leucanthemum.vulgare",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ononis.spinosa",1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Campanula.rotundifolia",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Centaurea.jacea",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thymus.pulegioides",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Trifolium.pratense",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Veronica.teucrium",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Achillea.millefolium",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Centaurea.scabiosa",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cirsium.acaule",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cirsium.arvense",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crataegus.laevigata",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Daucus.carota",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Fragaria.vesca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Hippocrepis.comosa",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lotus.corniculatus",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Picris.hieracioides",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prunella.grandiflora",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ranunculus.bulbosus",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rubus.fruticosus",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trifolium.campestre",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
