"","Bombus.lapidarius","Bombus.pascuorum","Andrena.minutuloides","Halictus.tumulorum","Episyrphus.balteatus","Eristalis.tenax","Myathropa.florea","Sphaerophoria.spec","Osmia.aurulenta","Cheilosia.soror","Eristalis.interrupta","Syrphus.ribesii","Andrena.labiata","Andrena.minutula","Anthidium.punctatum","Anthidium.strigatum","Bombus.soroeensis","Bombus.terrestris.agg","Hylaeus.communis","Hylaeus.confusus","Hylaeus.nigritus","Lasioglossum.calceatum","Lasioglossum.lativentre","Lasioglossum.lucidulum","Lasioglossum.morio","Lasioglossum.pauxillum","Lasioglossum.villosulum","Osmia.bicolor","Osmia.spinulosa","Psithyrus.bohemicus","Sphecodes.ferruginatus","Epistrophe.grossulariae","Helophilus.trivittatus","Melanostoma.spec","Syritta.pipiens","Syrphus.torvus","Syrphus.vitripennis"
"Knautia.arvensis",1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0
"Daucus.carota",0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"Leontodon.hispidus",1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
"Pimpinella.saxifraga",0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"Thymus.pulegioides",0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Cirsium.acaule",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Centaurea.scabiosa",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hippocrepis.comosa",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Lotus.corniculatus",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carlina.vulgaris",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Veronica.teucrium",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clinopodium.vulgare",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Medicago.falcata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trifolium.pratense",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
