"","Episyrphus.balteatus","Bombus.terrestris.agg","Bombus.lapidarius","Bombus.pascuorum","Lasioglossum.pauxillum","Andrena.subopaca","Syrphus.torvus","Eristalis.pertinax","Syrphus.vitripennis","Andrena.bicolor","Bombus.hortorum","Bombus.hypnorum","Bombus.pratorum","Hylaeus.confusus","Lasioglossum.leucopus","Psithyrus.bohemicus","Cheilosia.soror","Eristalis.interrupta","Eristalis.tenax","Eumerus.ornatus","Syrphus.ribesii"
"Knautia.arvensis",1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0
"Veronica.teucrium",0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"Hypericum.perforatum",1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Leontodon.hispidus",0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Pimpinella.saxifraga",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Centaurea.jacea",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gymnadenia.conopsea",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Ranunculus.bulbosus",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Achillea.millefolium",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Campanula.rotundifolia",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Carlina.vulgaris",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cirsium.arvense",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fragaria.vesca",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hippocrepis.comosa",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lotus.corniculatus",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Medicago.lupulina",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Plantago.media",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prunella.grandiflora",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Rhinanthus.minor",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Senecio.jacobaea",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Senecio.jacobeae",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Taraxacum.officinale",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trifolium.pratense",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
