"","Episyrphus.balteatus","Syrphus.torvus","Bombus.lapidarius","Syrphus.vitripennis","Ceratina.cyanea","Lasioglossum.morio","Lasioglossum.pauxillum","Sphaerophoria.spec","Andrena.angustior","Andrena.minutula","Bombus.pascuorum","Bombus.terrestris.agg","Halictus.tumulorum","Lasioglossum.leucopus","Eristalis.pertinax","Eristalis.tenax","Melanostoma.spec"
"Hypericum.perforatum",1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"Knautia.arvensis",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"Clematis.vitalba",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Daucus.carota",1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"Rosa.NA",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"Crepis.biennis",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ranunculus.bulbosus",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"Tilia.platyphyllos",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"Campanula.rotundifolia",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Convolvulus.arvensis",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Galium.mollugo",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Helianthemum.nummularium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Leontodon.hispidus",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Medicago.lupulina",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Thymus.pulegioides",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Tilia.cordata",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trifolium.pratense",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
