"","Bombus.lapidarius","Andrena.subopaca","Bombus.pascuorum","Episyrphus.balteatus","Syrphus.torvus","Syrphus.vitripennis","Andrena.minutula","Bombus.hortorum","Hylaeus.confusus","Nomada.flavoguttata","Osmia.bicolor","Psithyrus.bohemicus","Cheilosia.soror","Eristalis.arbustorum","Eristalis.tenax","Helophilus.pendulus","Sphaerophoria.spec"
"Cirsium.acaule",0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Galium.mollugo",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"Hypericum.perforatum",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Knautia.arvensis",1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"Pimpinella.saxifraga",0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
"Veronica.teucrium",0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Achillea.millefolium",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"Centaurea.jacea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"Centaurea.scabiosa",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Potentilla.reptans",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fragaria.vesca",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prunella.grandiflora",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rosa.NA",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Senecio.jacobaea",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trifolium.medium",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trifolium.pratense",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
