"","Episyrphus.balteatus","Bombus.pascuorum","Sphaerophoria.spec","Bombus.lapidarius","Eupeodes.corollae","Bombus.terrestris.agg","Lasioglossum.pauxillum","Osmia.bicolor","Eristalis.tenax","Syritta.pipiens","Syrphus.torvus"
"Galium.verum",1,0,1,0,1,0,0,0,0,0,1
"Knautia.arvensis",1,1,0,0,0,0,0,0,1,0,0
"Lotus.corniculatus",1,1,0,1,0,0,0,0,0,0,0
"Trifolium.pratense",1,0,0,1,1,0,0,0,0,0,0
"Centaurea.scabiosa",0,1,0,1,0,0,0,0,0,0,0
"Daucus.carota",1,0,1,0,0,0,0,0,0,0,0
"Leucanthemum.vulgare",0,0,0,0,0,0,1,0,0,1,0
"Cirsium.acaule",0,1,0,0,0,0,0,0,0,0,0
"Crataegus.laevigata",0,0,0,0,0,0,0,1,0,0,0
"Hypericum.perforatum",1,0,0,0,0,0,0,0,0,0,0
"Pimpinella.saxifraga",0,0,1,0,0,0,0,0,0,0,0
"Plantago.media",1,0,0,0,0,0,0,0,0,0,0
"Rosa.NA",0,0,0,0,0,1,0,0,0,0,0
"Senecio.jacobea",0,0,1,0,0,0,0,0,0,0,0
