"","Episyrphus.balteatus","Sphaerophoria.spec","Bombus.terrestris.agg","Bombus.lapidarius","Halictus.tumulorum","Lasioglossum.albipes","Lasioglossum.villosulum","Psithyrus.bohemicus","Eristalis.pertinax","Eristalis.tenax","Eupeodes.corollae","Helophilus.pendulus","Andrena.fulvago","Andrena.subopaca","Bombus.pascuorum","Lasioglossum.calceatum","Lasioglossum.fulvicorne","Osmia.bicolor","Psithyrus.campestris","Cheilosia.barbata","Cheilosia.soror","Eristalis.interrupta","Scaeva.pyrastri","Syrphus.vitripennis"
"Centaurea.scabiosa",1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
"Knautia.arvensis",1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
"Pimpinella.saxifraga",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
"Thymus.pulegioides",0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Galium.mollugo",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Veronica.chamaedrys",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"Hieracium.pilosella",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Lotus.corniculatus",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Solidago.virgaurea",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Hieracium.NA",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hypericum.perforatum",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Medicago.lupulina",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Plantago.media",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sanguisorba.minor",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Senecio.jacobaea",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trifolium.pratense",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
