"","Bombus.pascuorum","Episyrphus.balteatus","Sphaerophoria.spec","Bombus.lapidarius","Eristalis.tenax","Syrphus.ribesii","Syrphus.vitripennis","Andrena.fucata","Ceratina.cyanea","Chelostoma.florisomne","Halictus.tumulorum","Lasioglossum.pauxillum","Megachile.willughbiella","Eristalis.interrupta","Eristalis.pertinax","Ferdinandea.cuprea","Melanostoma.spec"
"Knautia.arvensis",1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
"Leontodon.hispidus",0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"Lotus.corniculatus",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ononis.spinosa",1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
"Achillea.millefolium",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Centaurea.jacea",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"Daucus.carota",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"Hippocrepis.comosa",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Medicago.lupulina",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Pimpinella.saxifraga",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Agrimonia.eupatoria",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Cirsium.acaule",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Medicago.falcata",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prunella.grandiflora",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ranunculus.bulbosus",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Rosa.NA",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Trifolium.pratense",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
