"","Episyrphus.balteatus","Bombus.lapidarius","Bombus.pascuorum","Sphaerophoria.spec","Eristalis.pertinax","Eristalis.tenax","Melanostoma.spec","Syrphus.ribesii","Andrena.subopaca","Anthidium.strigatum","Anthophora.plumipes","Bombus.terrestris.agg","Lasioglossum.leucopus","Psithyrus.bohemicus","Cheilosia.soror","Dasysyrphus.tricinctus","Syrphus.torvus","Syrphus.vitripennis","Xanthandrus.comtus","Xanthogramma.pedissequum"
"Centaurea.scabiosa",1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"Galium.verum",1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
"Knautia.arvensis",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"Leontodon.hispidus",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Prunella.grandiflora",0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Aegopodium.podagraria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Centaurea.jacea",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Galium.mollugo",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heracleum.sphondylium",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hippocrepis.comosa",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hypericum.perforatum",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lotus.corniculatus",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pimpinella.saxifraga",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Primula.veris",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Rubus.fruticosus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Taraxacum.officinale",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trifolium.pratense",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Veronica.chamaedrys",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Vicia.cracca",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
