"","Episyrphus.balteatus","Sphaerophoria.spec","Bombus.pascuorum","Bombus.terrestris.agg","Syrphus.vitripennis","Bombus.lapidarius","Lasioglossum.calceatum","Eristalis.arbustorum","Melanostoma.spec","Scaeva.pyrastri","Syrphus.ribesii"
"Pimpinella.saxifraga",1,1,0,0,0,0,0,1,1,1,0
"Hypericum.perforatum",1,1,0,0,1,0,0,0,0,0,1
"Centaurea.scabiosa",1,1,0,0,0,1,0,0,0,0,0
"Galium.mollugo",1,1,0,0,1,0,0,0,0,0,0
"Cichorium.intybus",1,1,0,0,0,0,0,0,0,0,0
"Thymus.pulegioides",0,1,0,0,0,0,1,0,0,0,0
"Centaurea.jacea",0,1,0,0,0,0,0,0,0,0,0
"Cirsium.acaule",1,0,0,0,0,0,0,0,0,0,0
"Cirsium.arvense",0,0,1,0,0,0,0,0,0,0,0
"Knautia.arvensis",1,0,0,0,0,0,0,0,0,0,0
"Lotus.corniculatus",0,0,1,0,0,0,0,0,0,0,0
"Medicago.lupulina",0,1,0,0,0,0,0,0,0,0,0
"Plantago.media",1,0,0,0,0,0,0,0,0,0,0
"Primula.veris",0,0,0,1,0,0,0,0,0,0,0
"Rosa.NA",0,0,0,1,0,0,0,0,0,0,0
