"","Bombus.terrestris.agg","Episyrphus.balteatus","Bombus.lapidarius","Bombus.pascuorum","Osmia.bicolor","Psithyrus.rupestris","Sphaerophoria.spec","Andrena.subopaca","Bombus.soroeensis","Chelostoma.rapunculi","Heriades.truncorum","Lasioglossum.fulvicorne","Lasioglossum.leucopus","Megachile.willughbiella","Nomada.flava","Psithyrus.bohemicus","Scaeva.selenitica","Syrphus.vitripennis"
"Veronica.teucrium",1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0
"Knautia.arvensis",1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Origanum.vulgare",1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"Pimpinella.saxifraga",0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1
"Cornus.sanguinea",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Achillea.millefolium",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Campanula.rotundifolia",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Centaurea.scabiosa",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Clinopodium.vulgare",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hippocrepis.comosa",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hypericum.perforatum",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
