"","Bombus.pascuorum","Bombus.lapidarius","Episyrphus.balteatus","Bombus.terrestris.agg","Eristalis.interrupta","Eristalis.pertinax","Melanostoma.spec","Syrphus.ribesii","Andrena.bicolor","Lasioglossum.morio","Osmia.leaiana","Psithyrus.bohemicus","Cheilosia.barbata","Cheilosia.ranunculi.albitarsis","Eristalis.tenax","Eupeodes.corollae","Helophilus.pendulus","Meliscaeva.cinctella","Syrphus.vitripennis"
"Knautia.arvensis",0,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0
"Achillea.millefolium",0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1
"Centaurea.jacea",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lotus.corniculatus",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Melampyrum.arvense",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pimpinella.saxifraga",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Ranunculus.bulbosus",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Campanula.rotundifolia",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Daucus.carota",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hippocrepis.comosa",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Knautia.arvenis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Trifolium.pratense",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
