"network","n_species","n_interactions","connectance","nestedness_obs","nestedness_NODFc","modularity_obs"
"01",60,82,0.105263157894737,0.205306088126472,2.00625628291526,0.52937239738251
"02",65,83,0.083,0.328929122574956,3.98680365330701,0.561402235447815
"03",74,94,0.0688644688644689,0.195041464689668,3.1320293931677,0.59506564056134
"04",68,101,0.0956439393939394,0.273101602888837,2.65760655659233,0.471865503382021
"05",61,94,0.101075268817204,0.216917748917749,2.00871748408395,0.54583521955636
"06",70,93,0.0842391304347826,0.263856528673462,3.19836512064223,0.537865649208001
"07",61,90,0.0967741935483871,0.183166666666667,1.8342651038587,0.521111111111111
"08",62,87,0.0953947368421053,0.165725473028844,1.75608494677536,0.532963403355794
"09",54,70,0.0960219478737997,0.251926468593135,2.96508422160747,0.53469387755102
"10",59,78,0.0896551724137931,0.200075024064322,2.39760287597722,0.552268244575937
"11",55,74,0.10054347826087,0.192836480386547,2.13287751992358,0.539536157779401
"12",53,77,0.11,0.225839303272932,2.01589878910967,0.514504975543937
"13",45,54,0.111111111111111,0.224603174603175,2.80379342578892,0.555727023319616
"14",61,93,0.103333333333333,0.215268817204301,1.92661824354521,0.469244999421899
"15",41,58,0.159340659340659,0.284746588693957,1.90890301596598,0.469381688466112
"16",47,57,0.105555555555556,0.223567467652495,2.73848725342949,0.570021545090797
"17",53,69,0.106811145510836,0.312712507589557,3.26093546749299,0.523314429741651
"18",51,73,0.112654320987654,0.271546289967343,2.43761172582031,0.510133233252017
"19",51,63,0.121621621621622,0.238298106560986,2.31230938251913,0.558201058201058
"20",59,66,0.0785714285714286,0.162232792083538,3.47665767636937,0.642102846648301
"21",58,68,0.084472049689441,0.178466138814016,2.82931150215334,0.632352941176471
"22",44,45,0.093167701863354,0.180777537796976,5.53932696949576,0.654320987654321
"23",34,32,0.110726643598616,0.125612745098039,-0.814034281930781,0.66064453125
"24",33,32,0.117647058823529,0.14453125,-0.768284974491344,0.65625
"25",25,26,0.168831168831169,0.252283105022831,3.22580040314938,0.536242603550296
"26",40,46,0.119791666666667,0.236342592592593,2.97069109208255,0.568761814744801
"27",34,39,0.134948096885813,0.248161764705882,2.88978096733455,0.5387902695595
"28",39,36,0.0947368421052632,0.155124653739612,-1.03443404629177,0.652006172839506
"29",26,28,0.16969696969697,0.383072916666667,4.06670684871811,0.508290816326531
"30",29,30,0.151515151515152,0.243589743589744,3.71553214178407,0.548333333333333
"31",19,17,0.188888888888889,0.327160493827161,-1.4827246218639,0.558823529411765
"32",31,32,0.140350877192982,0.293550331525015,4.4464360208973,0.560546875
