network,E,N,area_km2
01,552843.073,5710038.29,0.051395
02,552066.379,5701521.659,0.038776
03,564929.289,5696397.684,0.035856
04,558320.907,5716433.758,0.0294
05,555069.19,5700037.246,0.01944
06,570442.11,5706574.656,0.016
07,558461.848,5699966.274,0.0126
08,553726.723,5706362.744,0.011528
09,572456.315,5711804.586,0.007887
10,555563.997,5707882.143,0.00742
11,554610.376,5716469.745,0.006862
12,554186.538,5694099.597,0.006338
13,558108.992,5721699.675,0.004964
14,551111.758,5711769.606,0.004526
15,569098.641,5703147.012,0.003843
16,554645.357,5694701.358,0.00376
17,558603.795,5714313.597,0.003207
18,552949.028,5695230.149,0.002444
19,565671,5716257.827,0.002287
20,572880.145,5700990.865,0.001914
21,558532.82,5698623.805,0.001326
22,560547.023,5696255.742,0.001133
23,568003.073,5696750.544,0.001123
24,565212.178,5697245.349,0.00092
25,553020.003,5710426.137,0.000775
26,578745.824,5699118.604,0.000661
27,554963.236,5716645.676,0.000493
28,553479.819,5698093.016,0.000489
29,553867.666,5699860.317,0.000459
30,558249.932,5697528.239,0.000437
31,553761.711,5715338.193,0.000329
32,554857.278,5717070.507,0.000314
