"replica","resource","consumer","R","S","TM","Minc"
1,1,1,0,0,0.549998074261983,0
2,1,1,0,0,0.471239829720352,0
3,1,1,0,0,0.00718121049972689,0
4,1,1,0,0,0.845084645650417,0
5,1,1,0,0,0.943654463771386,0
6,1,1,0,0,0.852119693628568,0
7,1,1,0,0,0.396386394309973,0
8,1,1,0,0,0.0268781884019934,0
9,1,1,0,0,0.632828174219381,0
10,1,1,0,0,0.600588795603018,0
11,1,1,0,0,0.959777772338363,0
12,1,1,0,0,0.944516244599526,0
13,1,1,0,0,0.962045089284127,0
14,1,1,0,0,0.575972208982754,0
15,1,1,0,0,0.369980121228042,0
16,1,1,0,0,0.735140341357824,0
17,1,1,0,0,0.923043161591172,0
18,1,1,0,0,0.628126017053394,0
19,1,1,0,0,0.759322674267019,0
20,1,1,0,0,0.549895053127562,0
21,1,1,0,0,0.268010973172853,0
22,1,1,0,0,0.264157671953809,0
23,1,1,0,0,0.155527460894258,0
24,1,1,0,0,0.995813690128152,0
25,1,1,0,0,0.947572335674319,0
26,1,1,0,0,0.845712663624261,0
27,1,1,0,0,0.538293049895111,0
28,1,1,0,0,0.329056242400515,0
29,1,1,0,0,0.973785716063387,0
30,1,1,0,0,0.16610455742603,0
31,1,1,0,0,0.897407866721509,0
32,1,1,0,0,0.788245872579119,0
33,1,1,0,0,0.974617484577481,0
34,1,1,0,0,0.665440011883358,0
35,1,1,0,0,0.662925264493651,0
36,1,1,0,0,0.897876228203972,0
37,1,1,0,0,0.289169476859521,0
38,1,1,0,0,0.0826284053521748,0
39,1,1,0,0,0.567771964935844,0
40,1,1,0,0,0.0995567296480136,0
41,1,1,0,0,0.87142958659185,0
42,1,1,0,0,0.994377962420502,0
43,1,1,0,0,0.164626144924977,0
44,1,1,0,0,0.773075251602038,0
45,1,1,0,0,0.994695224345321,0
46,1,1,0,0,0.970304391707877,0
47,1,1,0,0,0.0389625428711399,0
48,1,1,0,0,0.584557478911965,0
49,1,1,0,0,0.995665569881021,0
50,1,1,0,0,0.992116898353519,0
51,1,1,0,0,0.573880586325775,0
52,1,1,0,0,0.0439509988579903,0
53,1,1,0,0,0.819117292321731,0
54,1,1,0,0,0.0504048433581045,0
55,1,1,0,0,0.0572568732590905,0
56,1,1,0,0,0.10038923347767,0
57,1,1,0,0,0.0714070439849038,0
58,1,1,0,0,0.814165433004061,0
59,1,1,0,0,0.69925160067113,0
60,1,1,0,0,0.792888215982906,0
61,1,1,0,0,0.758345812917024,0
62,1,1,0,0,0.955949672794623,0
63,1,1,0,0,0.0447990504009605,0
64,1,1,0,0,0.970275007682161,0
65,1,1,0,0,0.939743840613175,0
66,1,1,0,0,0.575854816138578,0
67,1,1,0,0,0.906057908180603,0
68,1,1,0,0,0.785494748098643,0
69,1,1,0,0,0.14865444207313,0
70,1,1,0,0,0.730627980837038,0
71,1,1,0,0,0.986273206246329,0
72,1,1,0,0,0.996406611061149,0
73,1,1,0,0,0.15001570090742,0
74,1,1,0,0,0.990878553159533,0
75,1,1,0,0,0.0383363588781371,0
76,1,1,0,0,0.134728730870933,0
77,1,1,0,0,0.413648432531347,0
78,1,1,0,0,0.978220742688493,0
79,1,1,0,0,0.964243837924589,0
80,1,1,0,0,0.852537695502259,0
81,1,1,0,0,0.983623561978908,0
82,1,1,0,0,0.620665812240778,0
83,1,1,0,0,0.625327740101403,0
84,1,1,0,0,0.0112705344512352,0
85,1,1,0,0,0.625598836279751,0
86,1,1,0,0,0.599528471231701,0
87,1,1,0,0,0.882800013020891,0
88,1,1,0,0,0.75531774334851,0
89,1,1,0,0,0.441483753971263,0
90,1,1,0,0,0.853416229071568,0
91,1,1,0,0,0.92905928442522,0
92,1,1,0,0,0.987243900688226,0
93,1,1,0,0,0.0286444910658407,0
94,1,1,0,0,0.703787785474582,0
95,1,1,0,0,0.974085385568203,0
96,1,1,0,0,0.97728618007278,0
97,1,1,0,0,0.999656777662491,0
98,1,1,0,0,0.772553454219439,0
99,1,1,0,0,0.0502887482062388,0
100,1,1,0,0,0.831100918536197,0
1,2,1,0.451972292477196,0.141373257505786,0.970959505962117,1
2,2,1,0.469699639968289,0.119089860307329,0.906077312872122,1
3,2,1,0.42256780431249,0.0537643245190602,0.324809845593182,1
4,2,1,0.366038676611729,0.137736754877701,0.883319074037404,1
5,2,1,0.446532088734994,0.118289172881312,0.851411180382699,1
6,2,1,0.517679050981324,0.129857718964858,0.804847395520071,1
7,2,1,0.41732439984142,0.0371918863941599,0.24835134094889,1
8,2,1,0.417097928286434,0.0938134873698276,0.679388277219064,1
9,2,1,0.489499088726808,0.116852897339126,0.946949274471362,1
10,2,1,0.363035294746618,0.0813819415620784,0.585243993672324,1
11,2,1,0.436588556191886,0.0752050770438072,0.538271217586494,1
12,2,1,0.704245437697465,0.0166382292878738,0.116557554818077,1
13,2,1,0.390977049093434,0.118874215052768,0.950796926205026,1
14,2,1,0.577840090448032,0.152980223282087,0.96474942549922,1
15,2,1,0.424396390205034,0.0717584700148161,0.486469460947452,1
16,2,1,0.467934439663056,0.137545201468436,0.987262439395991,1
17,2,1,0.418604034489578,0.0158596410681846,0.0780239541648731,1
18,2,1,0.408406619359049,0.148376276577856,0.92097406786118,1
19,2,1,0.426655325464192,0.161123656180269,0.999569364982607,1
20,2,1,0.43635743105329,0.106166563969054,0.719300494194859,1
21,2,1,0.519267407282457,0.0956035361264979,0.744169770395192,1
22,2,1,0.340096890168967,0.0270487362767928,0.148661292441606,1
23,2,1,0.406939798616268,0.119598508000496,0.932141255871827,1
24,2,1,0.420769941673774,0.102161991693387,0.76521951820916,1
25,2,1,0.524950648865227,0.0405119422143082,0.282471764211979,1
26,2,1,0.476103078579386,0.0708153402030979,0.535759420974824,1
27,2,1,0.452033304851967,0.0708109730954662,0.559527696207026,1
28,2,1,0.392603437472368,0.08232956337785,0.61868408935008,1
29,2,1,0.588133132693899,0.113289966982414,0.921167117453577,1
30,2,1,0.278411169627836,0.0816028577863607,0.468693578266719,1
31,2,1,0.552767009161033,0.009932187669083,0.0612035225523245,1
32,2,1,0.459451213181579,0.123318018423482,0.944324009356961,1
33,2,1,0.374830282508105,0.123402338392643,0.824553077242328,1
34,2,1,0.540731479846447,0.163646411195223,0.99732381451271,1
35,2,1,0.435888217491836,0.140814270670674,0.983021601399621,1
36,2,1,0.406024875359616,0.0649841504219382,0.462544496093731,1
37,2,1,0.374185887822497,0.0971048547484704,0.67259495927926,1
38,2,1,0.55471710936617,0.051673801731808,0.407961621518087,1
39,2,1,0.418824700966449,0.0532893218061164,0.389701927056588,1
40,2,1,0.541891500469676,0.00646030739787984,0.0348995797907142,1
41,2,1,0.533930092999681,0.139320118708545,0.998889729554704,1
42,2,1,0.729955889793841,0.001534678775049,0.00738315990892751,1
43,2,1,0.554234889231936,0.113709299665889,0.796389242926158,1
